index,name,link,category,country,shop_location,user_id,shop_id,cancellation_rate,response_rate,rating_normal,rating_bad,rating_good,total_avg_star,follower_count,following_count,item_count
104,Cillie,https://shopee.vn/cillie.official,Giày Dép Nữ,VN,TP. Hồ Chí Minh,14060725,14059421,0,92,185,58,12945,4.916858,131603,21,212
105,D&A,https://shopee.vn/dongan_vn,Giày Dép Nữ,VN,Hà Nội,23331344,23330008,0,70,158,63,4590,4.823344,7793,164,235
106,Evashoes,https://shopee.vn/evashoes.official,Giày Dép Nữ,VN,Hà Nội,66374964,66373508,0,72,133,54,4350,4.8299,20907,155,163
107,Alma Mart,https://shopee.vn/almamart_official,Thiết Bị Điện Gia Dụng,VN,TP. Hồ Chí Minh,490009660,489990082,0,96,0,1,47,4.893617,274,1,165
108,APC by Schneider Electric,https://shopee.vn/apcbyanphat,Thiết Bị Điện Gia Dụng,VN,Hà Nội,269222055,269218366,0,50,3,1,81,4.797468,923,1,52
109,Baseus Official Store,https://shopee.vn/baseus_official_store,Thiết Bị Điện Gia Dụng,VN,TP. Hồ Chí Minh,172257620,172255202,0,51,420,338,15760,4.82195,36358,1,439
110,cleansui_official_store,https://shopee.vn/toshiba_hcm_store,Thiết Bị Điện Gia Dụng,VN,TP. Hồ Chí Minh,720985766,720966181,0,75,0,0,1,5,23,1,218
111,Cuckoo,https://shopee.vn/cuckoo_flagship_store,Thiết Bị Điện Gia Dụng,VN,Hà Nội,131175016,131173192,0,81,25,11,1009,4.859768,229368,1,55
112,aht_corp.officialstore,https://shopee.vn/aht_corp.officialstore,Giặt giũ & Chăm sóc nhà cửa,VN,TP. Hồ Chí Minh,41030381,41028995,0,96,9,3,614,4.906511,3988,61,86
113,Attack Official Store,https://shopee.vn/kao_officialstore,Giặt giũ & Chăm sóc nhà cửa,VN,TP. Hồ Chí Minh,290787734,290768497,0,100,0,0,10,5,84,2,60
114,Fineline,https://shopee.vn/finelineofficial,Giặt giũ & Chăm sóc nhà cửa,VN,Hà Nội,334811937,334792362,0,73,0,0,56,4.981481,298,2,25
115,Hapaku HN,https://shopee.vn/hapaku_officialstore,Giặt giũ & Chăm sóc nhà cửa,VN,Hà Nội,50232939,50231551,0,82,80,25,6607,4.93278,16649,223,59
116,Mao Bao,https://shopee.vn/maobaovn,Giặt giũ & Chăm sóc nhà cửa,VN,TP. Hồ Chí Minh,95135922,95134444,0,96,42,9,5874,4.960818,3536,3,66
117,abbottfreestylelibre,https://shopee.vn/abbottfreestylelibre,Sức Khỏe,VN,TP. Hồ Chí Minh,729648254,729628669,0,61,0,0,27,5,223,0,14
118,aishitoto_officialstore,https://shopee.vn/aishitoto_officialstore,Sức Khỏe,VN,TP. Hồ Chí Minh,232857537,232852724,0,85,1,0,148,4.959459,40663,6,71
119,Badger Offcial Store,https://shopee.vn/badger_officialstore,Sức Khỏe,VN,TP. Hồ Chí Minh,85552909,85551432,0,100,5,3,889,4.959184,3102,15,22
120,Bebalance VN,https://shopee.vn/bebalancevietnam_officialstore,Sức Khỏe,VN,TP. Hồ Chí Minh,631080770,631061185,0,97,1,0,67,4.967213,2316,0,101
121,bongbachtuyet,https://shopee.vn/bongbachtuyet,Sức Khỏe,VN,TP. Hồ Chí Minh,239363842,239358464,0,99,133,78,17382,4.947273,163575,2,83
